spaceHolder;groupe;sousGroupe;categorie;cat_gr
Deaf-blind;SA;SA;R;S
Deafblind;SA;SA;R;S
deafblind;SA;SA;R;S
DeafBlind;SA;SA;R;S
deafblindness;SA;SA;R;S
Deaf-blind person;SA;SA;R;S
Deafblind person;SA;SA;R;S
deafblind person;SA;SA;R;S
Deafblind person;SA;SA;R;S
deafblindness person;SA;SA;R;S
someone Deaf-blind;SA;SA;R;S
someone Deafblind;SA;SA;R;S
someone deafblind;SA;SA;R;S
someone Deafblind;SA;SA;R;S
someone deafblindness;SA;SA;R;S
somebody Deaf-blind;SA;SA;R;S
somebody Deafblind;SA;SA;R;S
somebody deafblind;SA;SA;R;S
somebody Deafblind;SA;SA;R;S
somebody deafblindness;SA;SA;R;S
anybody Deaf-blind;SA;SA;R;S
anybody Deafblind;SA;SA;R;S
anybody deafblind;SA;SA;R;S
anybody Deafblind;SA;SA;R;S
anybody deafblindness;SA;SA;R;S
Deaf-blind community;SA;SA;R;S
Deafblind community;SA;SA;R;S
deafblind community;SA;SA;R;S
Deafblind community;SA;SA;R;S
deafblindness community;SA;SA;R;S
Deaf-blind persons;SA;SA;R;P
Deafblind persons;SA;SA;R;P
deafblind persons;SA;SA;R;P
Deafblind persons;SA;SA;R;P
deafblindness persons;SA;SA;R;P
Deaf-blind people;SA;SA;R;P
Deafblind people;SA;SA;R;P
deafblind people;SA;SA;R;P
Deafblind people;SA;SA;R;P
deafblindness people;SA;SA;R;P
everyone Deaf-blind;SA;SA;R;P
everyone Deafblind;SA;SA;R;P
everyone deafblind;SA;SA;R;P
everyone Deafblind;SA;SA;R;P
everyone deafblindness;SA;SA;R;P
everybody Deaf-blind;SA;SA;R;P
everybody Deafblind;SA;SA;R;P
everybody deafblind;SA;SA;R;P
everybody Deafblind;SA;SA;R;P
everybody deafblindness;SA;SA;R;P
Deaf-blind communities;SA;SA;R;P
Deafblind communities;SA;SA;R;P
deafblind communities;SA;SA;R;P
Deafblind communities;SA;SA;R;P
deafblindness communities;SA;SA;R;P
