spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr
non-disabled;WD;WD;non;R;;S
non-handicapped;WD;WD;non;R;;S
without disability;WD;WD;non;R;;S
without handicap;WD;WD;non;R;;S
valid person;WD;WD;non;R;;S
non-disabled person;WD;WD;non;R;;S
non-handicapped person;WD;WD;non;R;;S
person without disability;WD;WD;non;R;;S
person without handicap;WD;WD;non;R;;S
someone without disability;WD;WD;non;R;;S
someone without handicap;WD;WD;non;R;;S
somebody without disability;WD;WD;non;R;;S
somebody without handicap;WD;WD;non;R;;S
anybody without disability;WD;WD;non;R;;S
anybody without handicap;WD;WD;non;R;;S
valid community;WD;WD;non;R;;S
non-disabled community;WD;WD;non;R;;S
non-handicapped community;WD;WD;non;R;;S
community without disability;WD;WD;non;R;;S
community without handicap;WD;WD;non;R;;S
valid persons;WD;WD;non;R;;P
non-disabled persons;WD;WD;non;R;;P
non-handicapped persons;WD;WD;non;R;;P
persons without disability;WD;WD;non;R;;P
persons without handicap;WD;WD;non;R;;P
valid people;WD;WD;non;R;;P
non-disabled people;WD;WD;non;R;;P
non-handicapped people;WD;WD;non;R;;P
people without disability;WD;WD;non;R;;P
people without handicap;WD;WD;non;R;;P
everyone without disability;WD;WD;non;R;;P
everyone without handicap;WD;WD;non;R;;P
everybody without disability;WD;WD;non;R;;P
everybody without handicap;WD;WD;non;R;;P
valid communities;WD;WD;non;R;;P
non-disabled communities;WD;WD;non;R;;P
non-handicapped communities;WD;WD;non;R;;P
communities without disability;WD;WD;non;R;;P
communities without handicap;WD;WD;non;R;;P
